DATE,CB_Net_Purchases_t
2016-03-31,110.59
2016-06-30,84.92
2016-09-30,88.95
2016-12-31,110.4
2017-03-31,92.04
2017-06-30,96.26
2017-09-30,96.59
2017-12-31,93.66
2018-03-31,84.8
2018-06-30,152.77
2018-09-30,240.55
2018-12-31,178.12
2019-03-31,146.23
2019-06-30,227.81
2019-09-30,113.46
2019-12-31,117.91
2020-03-31,140.77
2020-06-30,63.74
2020-09-30,-10.6
2020-12-31,61.04
2021-03-31,115.61
2021-06-30,209.64
2021-09-30,90.56
2021-12-31,34.3
2022-03-31,82.44
2022-06-30,158.57
2022-09-30,456.91
2022-12-31,382.1
2023-03-31,290.42
2023-06-30,176.34
2023-09-30,367.26
2023-12-31,216.79
2024-03-31,313.27
2024-06-30,211.52
2024-09-30,201.0
2024-12-31,366.59
2025-03-31,237.0
2025-06-30,179.25
2025-09-30,226.25
2025-12-31,207.64
2026-03-31,243.66
